name Energy(Hartrees)
5ov8_6 -4415.121754430326
5ovc_1 -5965.633916781695
5ovc_2 -3997.1504613544666
5ovc_3 -9058.95002095127
5ovc_4 -6284.194105025936
5ovc_6 -6363.662085523186
5ovp_2 -5575.751766978206
5ovp_3 -6043.52191278423
5ovp_4 -8674.128835808122
5ovv_2 -3863.835834447842
5ovv_4 -6919.585961333362
5ovv_6 -7581.140681453766
5tpx_1 -8659.238177245254
5tpx_2 -5043.532305197306
5tpx_3 -8128.6429359491885
5tpx_4 -7251.498940527091
5u28_1 -5827.701558813886
5u28_2 -3938.9997312494784
5u28_3 -4458.444523963095
5u28_5 -7877.973477173169
5u28_6 -6217.199938678164
5u28_7 -10003.316238564512
5u28_8 -4044.078319939512
5u28_9 -6558.449305691307
5uf0_1 -8662.092822270733
5uf0_3 -5662.30648342563
5uf0_4 -7063.578482552044
5uf0_5 -5728.727427439189
5uf0_6 -5418.204912697809
5uf0_7 -9564.956261347072
5ul6_1 -7206.182475344064
5ul6_3 -4868.970539480116
5ul6_4 -6067.996060003633
5var_1 -6336.630141922328
5var_2 -6158.693114383187
5var_3 -10142.903077054585
5var_4 -8061.4748212229715
5var_5 -6061.233549788318
5var_6 -6548.38259295297
5wmg_1 -7322.394850678462
5wmg_2 -4664.490761348397
5wmg_3 -8549.446973751095
5wmg_4 -7747.011044887184
5wmg_6 -10564.760440580001
5wmg_7 -9122.22955734197
5yj8_1 -7256.118348273592
5yj8_2 -4146.084957703002
5yj8_3 -6169.075410197793
5yj8_4 -7948.927311631988
5yvx_2 -8299.018729536665
5yvx_3 -6998.2512465135005
5zgg_1 -6406.415255594935
5zgg_2 -5114.319610643073
5zgg_3 -7757.280427994103
5zgg_4 -6465.065974801846
6asz_1 -9242.778156547954
6atv_3 -6307.8855351030315
6atv_4 -6274.793981383969
6d07_3 -9258.20215687186
6d08_2 -4895.287561690054
6d08_3 -8460.091592914012
6dl2_1 -7955.709949464691
6dl2_2 -4501.317282993258
6dl2_3 -8739.95841595887
6dl2_4 -9273.64590562331
6dl2_7 -9750.09750204179
6evn_1 -8456.313140550912
6evn_2 -5173.790553291848
6evn_4 -8467.06738929344
6f55_1 -9693.839571113003
6f55_2 -7758.917524922653
6f55_3 -8755.435543525578
6fgg_2 -4230.859487867383
6fgg_3 -3690.8143935398907
6fgg_4 -6509.5088332937485
6fgg_5 -8007.832480963736
6fgg_6 -5059.224861588941
6fgg_7 -7457.95323932609
6ha4_2 -5941.338389319101
6ha4_3 -10141.022481667678
6j3o_1 -6163.563112675082
6j3o_3 -4562.223975002929
6j3o_4 -6444.199593916056
6j3o_5 -9320.275153197059
6j3o_6 -5759.326674218235
6j3o_7 -7493.02964258715
6j3p_1 -5781.593837589054
6j3p_2 -6862.894957333222
6j3p_3 -4736.1553203463045
6j3p_4 -7347.214076917904
6j3p_6 -5088.522767008915
6j3p_7 -6298.410047715168
6pvv_1 -9584.439375179512
6pvv_2 -8847.97759796105
6pvv_4 -5670.797054899719
6pvv_5 -5886.366109228176
6pvv_6 -4738.400141186886
6pvv_7 -7931.6577405224625
6pvw_1 -7412.838683112412
6pvw_4 -9896.150525393565
6pvw_6 -8655.077236592264
6qls_1 -7444.943678717736
6qls_2 -4759.050751896546
6qls_3 -9274.39658471109
6qls_4 -9380.751175482008
6qls_5 -6654.565247780451
6qls_6 -4545.398853468556
6qls_7 -5186.066930433555
